Date,MSCI Stocks Weeks
2018-09-17,36.32181262437771
2018-09-24,36.42704207192662
2018-10-01,36.53250379389156
2018-10-08,36.64016079008911
2018-10-15,36.75245124206941
2018-10-22,36.86483301644277
2018-10-29,36.98163679777052
2018-11-05,37.09472127489052
2018-11-12,37.20847803109386
2018-11-19,37.32331087466512
2018-11-26,37.43874166236481
2018-12-03,37.55040671485111
2018-12-10,37.668578409657734
2018-12-17,37.789126711554076
2018-12-24,37.91712206958909
2018-12-31,38.03961754746437
2019-01-07,38.15982550723477
2019-01-14,38.27828047539408
2019-01-21,38.39362068479807
2019-01-28,38.50963292640981
2019-02-04,38.62287944747668
2019-02-11,38.737031223678315
2019-02-18,38.8483730184932
2019-02-25,38.95869232301089
2019-03-04,39.0690870947145
2019-03-11,39.18031940784977
2019-03-18,39.28927612188961
2019-03-25,39.399847562465936
2019-04-01,39.50809895250399
2019-04-08,39.61528939454666
2019-04-15,39.722070644613396
2019-04-22,39.828830158843374
2019-04-29,39.9349021810393
2019-05-06,40.04141138449957
2019-05-13,40.152014621930064
2019-05-20,40.2616624623062
2019-05-27,40.37173970350635
2019-06-03,40.48458198234865
2019-06-10,40.59264480142664
2019-06-17,40.700943437080426
2019-06-24,40.80688981902914
2019-07-01,40.912156227255075
2019-07-08,41.017308477197766
2019-07-15,41.12152428451247
2019-07-22,41.226530600642384
2019-07-29,41.33083307782622
2019-08-05,41.440863607630554
2019-08-12,41.54983369860968
2019-08-19,41.658084073065766
2019-08-26,41.7677017048426
2019-09-02,41.875710406023565
2019-09-09,41.98164511563711
2019-09-16,42.086737029024555
2019-09-23,42.19193145989112
2019-09-30,42.2977879340378
2019-10-07,42.40503167690162
2019-10-14,42.511118815462744
2019-10-21,42.615570475582615
2019-10-28,42.718989508821494
2019-11-04,42.82103431669663
2019-11-11,42.92285804759959
2019-11-18,43.02381756687074
2019-11-25,43.124561561269374
2019-12-02,43.2259362013894
2019-12-09,43.326595384828686
2019-12-16,43.42532230124154
2019-12-23,43.52349064358727
2019-12-30,43.62155469575735
2020-01-06,43.7191525839993
2020-01-13,43.8157794994266
2020-01-20,43.91133492969836
2020-01-27,44.00928077674548
2020-02-03,44.1074198954889
2020-02-10,44.203051751097554
2020-02-17,44.2979915545152
2020-02-24,44.39700227242541
2020-03-02,44.50131040699959
2020-03-09,44.616971452282435
2020-03-16,44.75249563951
2020-03-23,44.896536454915456
2020-03-30,45.019910792395265
2020-04-06,45.14256382658603
2020-04-13,45.26049878545621
2020-04-20,45.3762288550987
2020-04-27,45.49033039862635
2020-05-04,45.6058449679014
2020-05-11,45.71783081289059
2020-05-18,45.82936741548568
2020-05-25,45.94021663505175
2020-06-01,46.04686070265556
2020-06-08,46.147719617171575
2020-06-15,46.25399436147454
2020-06-22,46.35804664289018
2020-06-29,46.46407723907902
2020-07-06,46.56599405661088
2020-07-13,46.66838704910752
2020-07-20,46.768159733674516
2020-07-27,46.86798982286272
2020-08-03,46.96728469686414
2020-08-10,47.065032235173845
2020-08-17,47.16142827638122
2020-08-24,47.256903848160555
2020-08-31,47.35088401145422
2020-09-07,47.446716419738614
2020-09-14,47.54301591888492
2020-09-21,47.64208019079389
2020-09-28,47.7395988924429
2020-10-05,47.83561271843384
2020-10-12,47.92874293683042
2020-10-19,48.024193234746704
2020-10-26,48.12074616635118
2020-11-02,48.220123994892624
2020-11-09,48.31235568828496
2020-11-16,48.402447131099414
2020-11-23,48.49305501942217
2020-11-30,48.58239173008022
2020-12-07,48.66994094733185
2020-12-14,48.758039972986
2020-12-21,48.8452883087967
2020-12-28,48.931499169066136
2021-01-04,49.017928297756804
2021-01-11,49.102457603362645
2021-01-18,49.18750277794196
2021-01-25,49.27120974663081
2021-02-01,49.35674699468085
2021-02-08,49.43928573217382
2021-02-15,49.52083913973344
2021-02-22,49.60360819503227
2021-03-01,49.686508374925666
2021-03-08,49.77126773744485
2021-03-15,49.85304714838775
2021-03-22,49.935181660077546
2021-03-29,50.017261250467556
2021-04-05,50.097585524918465
2021-04-12,50.17696267885061
2021-04-19,50.25534763520978
2021-04-26,50.33341227741741
2021-05-03,50.41167441959311
2021-05-10,50.48959566770449
2021-05-17,50.568244295521886
2021-05-24,50.646037620439714
2021-05-31,50.72358886242285
2021-06-07,50.80048707559034
2021-06-14,50.87690376458766
2021-06-21,50.95428831135798
2021-06-28,51.03057011260523
2021-07-05,51.10623612484497
2021-07-12,51.18144763842403
2021-07-19,51.25900278983108
2021-07-26,51.333918135490485
2021-08-02,51.40891357951726
2021-08-09,51.483425933417166
2021-08-16,51.55734328445584
2021-08-23,51.631484341771575
2021-08-30,51.70482287562183
2021-09-06,51.77762900842216
2021-09-13,51.851449177568774
2021-09-20,51.92720560550168
2021-09-27,52.001754065479595
2021-10-04,52.078859883190646
2021-10-11,52.154981902728125
2021-10-18,52.22908867527196
2021-10-25,52.302119686186685
2021-11-01,52.374448894022734
2021-11-08,52.44573028634792
2021-11-15,52.51725447880998
2021-11-22,52.58933630032722
2021-11-29,52.66246335199806
2021-12-06,52.736491674740826
2021-12-13,52.80947372115741
2021-12-20,52.88390340371481
2021-12-27,52.955179071864805
2022-01-03,53.02637272120143
2022-01-10,53.09925933732366
2022-01-17,53.171915327919066
2022-01-24,53.24869712633306
2022-01-31,53.32413532798692
2022-02-07,53.39956391320815
2022-02-14,53.47619451666138
2022-02-21,53.553740286113154
2022-02-28,53.631232933998184
2022-03-07,53.71307934538771
2022-03-14,53.79472450626542
2022-03-21,53.87138998717265
2022-03-28,53.94676461793117
2022-04-04,54.02165613756498
2022-04-11,54.09929347802025
2022-04-18,54.17741044255124
2022-04-25,54.25760269009936
2022-05-02,54.34012844019654
2022-05-09,54.4264996654501
2022-05-16,54.51216169732494
2022-05-23,54.597560617028606
2022-05-30,54.679546601797796
2022-06-06,54.76226462790305
2022-06-13,54.852938735488486
2022-06-20,54.945431783865125
2022-06-27,55.03340419571677
2022-07-04,55.12327215272754
2022-07-11,55.21298429338182
2022-07-18,55.30285890033021
2022-07-25,55.38990155645427
2022-08-01,55.47384022750365
2022-08-08,55.55749106222745
2022-08-15,55.63867693891584
2022-08-22,55.72301933530824
2022-08-29,55.809488945419645
2022-09-05,55.89835913865307
2022-09-12,55.9832316587134
2022-09-19,56.072658033234035
2022-09-26,56.168474923324396
2022-10-03,56.263445202375564
2022-10-10,56.35977525224563
2022-10-17,56.45467015929923
2022-10-24,56.54723481108027
2022-10-31,56.63781353667383
2022-11-07,56.728895987848325
2022-11-14,56.81584943471194
2022-11-21,56.903247455787685
2022-11-28,56.98972840749326
2022-12-05,57.07531577936183
2022-12-12,57.16130947086462
2022-12-19,57.25055117517889
2022-12-26,57.339121891810464
2023-01-02,57.42763247988956
2023-01-09,57.51428456397328
2023-01-16,57.59863374258097
2023-01-23,57.682398744892886
2023-01-30,57.76603139017116
2023-02-06,57.848638082910334
2023-02-13,57.930761195310595
2023-02-20,58.01367448072742
2023-02-27,58.098465297542795
2023-03-06,58.183720980757684
2023-03-13,58.26897666397257
2023-03-20,58.35423234718746
2023-03-27,58.43948803040235
2023-04-03,58.52474371361724
2023-04-10,58.60999939683213
2023-04-17,58.69525508004702
2023-04-24,58.78051076326191
2023-05-01,58.8657664464768
2023-05-08,58.95102212969169
2023-05-15,59.036277812906576
