"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2017","1,891.21","1,895.02","1,896.19","1,884.57","","-0.25%"
"05/10/2017","1,895.93","1,893.80","1,895.93","1,891.98","","0.13%"
"05/09/2017","1,893.41","1,896.66","1,896.75","1,890.80","","-0.21%"
"05/08/2017","1,897.32","1,897.71","1,901.26","1,893.91","","0.03%"
"05/05/2017","1,896.75","1,887.79","1,897.77","1,885.49","","0.54%"
"05/04/2017","1,886.48","1,881.23","1,888.27","1,880.10","","0.18%"
"05/03/2017","1,883.13","1,887.83","1,887.83","1,878.71","","-0.16%"
"05/02/2017","1,886.15","1,881.65","1,887.38","1,881.60","","0.19%"
"05/01/2017","1,882.49","1,878.91","1,884.45","1,878.11","","0.22%"
"04/28/2017","1,878.28","1,881.23","1,882.97","1,878.26","","-0.15%"
"04/27/2017","1,881.14","1,883.05","1,884.36","1,878.15","","-0.07%"
"04/26/2017","1,882.44","1,883.05","1,887.94","1,881.62","","0.02%"
"04/25/2017","1,882.04","1,871.80","1,883.78","1,871.76","","0.56%"
"04/24/2017","1,871.65","1,847.91","1,873.19","1,845.98","","1.61%"
"04/21/2017","1,842.06","1,845.87","1,847.77","1,840.99","","-0.25%"
"04/20/2017","1,846.65","1,834.81","1,847.14","1,834.67","","0.63%"
"04/19/2017","1,835.04","1,838.28","1,842.49","1,833.05","","-0.13%"
"04/18/2017","1,837.34","1,844.73","1,844.98","1,834.45","","-0.48%"
"04/17/2017","1,846.13","1,832.43","1,846.13","1,832.42","","0.76%"
"04/14/2017","1,832.28","1,831.96","1,832.28","1,831.31","","-0.05%"
"04/13/2017","1,833.12","1,844.61","1,845.05","1,832.31","","-0.54%"
"04/12/2017","1,842.98","1,846.68","1,849.43","1,840.54","","-0.27%"
"04/11/2017","1,847.88","1,846.78","1,849.30","1,837.44","","0.06%"
"04/10/2017","1,846.78","1,844.58","1,850.53","1,843.37","","0.07%"
"04/07/2017","1,845.46","1,846.69","1,847.78","1,842.34","","-0.06%"
"04/06/2017","1,846.59","1,846.45","1,848.61","1,839.67","","0.03%"
"04/05/2017","1,845.95","1,850.69","1,860.33","1,845.95","","-0.22%"
"04/04/2017","1,850.02","1,849.66","1,850.08","1,844.12","","0.06%"
"04/03/2017","1,848.97","1,853.55","1,855.20","1,842.45","","-0.25%"
"03/31/2017","1,853.69","1,857.20","1,858.49","1,851.96","","-0.34%"
"03/30/2017","1,859.95","1,857.67","1,861.29","1,854.79","","0.17%"
"03/29/2017","1,856.76","1,855.08","1,858.71","1,851.59","","-0.11%"
"03/28/2017","1,858.88","1,844.18","1,858.88","1,844.09","","0.74%"
"03/27/2017","1,845.15","1,848.04","1,848.07","1,833.81","","-0.04%"
"03/24/2017","1,845.81","1,844.61","1,851.56","1,842.87","","0.05%"
"03/23/2017","1,844.97","1,842.15","1,851.04","1,840.97","","0.13%"
"03/22/2017","1,842.63","1,846.42","1,846.42","1,835.66","","-0.20%"
"03/21/2017","1,846.39","1,859.97","1,868.84","1,845.47","","-0.76%"
"03/20/2017","1,860.53","1,863.36","1,865.39","1,857.99","","-0.14%"
"03/17/2017","1,863.08","1,864.13","1,867.66","1,862.01","","-0.05%"
"03/16/2017","1,864.10","1,860.89","1,866.66","1,859.98","","0.54%"
"03/15/2017","1,854.15","1,841.64","1,862.13","1,840.61","","0.61%"
"03/14/2017","1,842.98","1,848.95","1,849.06","1,838.28","","-0.38%"
"03/13/2017","1,850.02","1,846.41","1,850.02","1,845.98","","0.22%"
"03/10/2017","1,845.88","1,835.62","1,848.62","1,835.47","","0.54%"
"03/09/2017","1,835.90","1,834.15","1,838.91","1,831.83","","0.06%"
"03/08/2017","1,834.72","1,840.16","1,841.20","1,833.84","","-0.32%"
"03/07/2017","1,840.57","1,844.62","1,846.04","1,838.59","","-0.28%"
"03/06/2017","1,845.70","1,851.44","1,852.11","1,841.47","","-0.18%"
"03/03/2017","1,848.98","1,847.82","1,852.10","1,844.01","","0.01%"
"03/02/2017","1,848.84","1,856.51","1,858.34","1,847.22","","-0.40%"
"03/01/2017","1,856.34","1,834.55","1,858.98","1,833.72","","0.96%"
"02/28/2017","1,838.70","1,839.13","1,841.32","1,834.59","","-0.16%"
"02/27/2017","1,841.57","1,840.17","1,841.57","1,836.15","","0.04%"
"02/24/2017","1,840.80","1,844.71","1,844.81","1,833.32","","-0.25%"
"02/23/2017","1,845.35","1,843.01","1,848.56","1,840.59","","0.16%"
"02/22/2017","1,842.37","1,843.04","1,845.11","1,839.33","","-0.04%"
"02/21/2017","1,843.05","1,836.40","1,844.00","1,833.65","","0.34%"
"02/20/2017","1,836.78","1,835.99","1,837.85","1,834.71","","0.02%"
"02/17/2017","1,836.50","1,836.53","1,836.57","1,830.30","","0.00%"
"02/16/2017","1,836.56","1,835.11","1,838.24","1,832.15","","0.16%"
"02/15/2017","1,833.55","1,824.84","1,835.86","1,824.06","","0.54%"
"02/14/2017","1,823.63","1,823.60","1,824.74","1,816.39","","0.02%"
"02/13/2017","1,823.34","1,814.87","1,825.26","1,814.09","","0.48%"
"02/10/2017","1,814.71","1,806.61","1,817.18","1,806.51","","0.40%"
"02/09/2017","1,807.54","1,801.80","1,808.68","1,798.73","","0.29%"
"02/08/2017","1,802.26","1,797.41","1,802.26","1,794.87","","0.28%"
"02/07/2017","1,797.29","1,799.83","1,800.71","1,794.72","","-0.05%"
"02/06/2017","1,798.21","1,804.60","1,806.39","1,796.77","","-0.40%"
"02/03/2017","1,805.51","1,792.90","1,806.01","1,792.25","","0.58%"
"02/02/2017","1,795.11","1,794.20","1,797.44","1,790.65","","0.10%"
"02/01/2017","1,793.39","1,791.85","1,799.87","1,789.90","","0.06%"
"01/31/2017","1,792.40","1,792.21","1,794.31","1,786.22","","0.02%"
"01/30/2017","1,792.06","1,803.77","1,804.32","1,785.23","","-0.63%"
"01/27/2017","1,803.39","1,804.37","1,806.01","1,801.34","","-0.02%"
"01/26/2017","1,803.75","1,806.74","1,810.75","1,803.07","","-0.11%"
"01/25/2017","1,805.81","1,789.39","1,807.49","1,789.19","","0.85%"
"01/24/2017","1,790.57","1,783.80","1,790.66","1,779.78","","0.51%"
"01/23/2017","1,781.43","1,784.98","1,786.91","1,777.45","","-0.07%"
"01/20/2017","1,782.71","1,777.93","1,785.02","1,776.21","","0.38%"
"01/19/2017","1,776.02","1,780.37","1,783.08","1,774.79","","-0.54%"
"01/18/2017","1,785.69","1,784.01","1,785.69","1,778.82","","0.16%"
"01/17/2017","1,782.86","1,783.00","1,787.94","1,781.43","","-0.05%"
"01/16/2017","1,783.76","1,787.71","1,788.85","1,782.97","","-0.25%"
"01/13/2017","1,788.23","1,780.71","1,790.08","1,779.65","","0.27%"
"01/12/2017","1,783.44","1,785.22","1,789.27","1,775.71","","0.30%"
"01/11/2017","1,778.17","1,777.81","1,785.49","1,774.62","","-0.08%"
"01/10/2017","1,779.62","1,778.73","1,782.90","1,776.19","","0.15%"
"01/09/2017","1,776.94","1,780.03","1,781.46","1,775.89","","-0.35%"
"01/06/2017","1,783.10","1,782.52","1,783.55","1,775.62","","0.04%"
"01/05/2017","1,782.46","1,774.43","1,782.97","1,774.24","","0.48%"
"01/04/2017","1,773.96","1,759.03","1,774.92","1,759.03","","0.91%"
"01/03/2017","1,757.99","1,749.01","1,760.40","1,747.94","","0.28%"
"01/02/2017","1,753.09","1,749.61","1,753.09","1,748.01","","0.11%"
"12/30/2016","1,751.22","1,753.00","1,757.99","1,747.52","","-0.10%"
"12/29/2016","1,752.96","1,751.94","1,753.62","1,750.53","","0.14%"
